,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Jim Furyk,89,67.77,881,13
1,2,2,Lucas Glover,105,68.31,888,13
2,3,3,Tiger Woods,55,68.64,755,11
3,4,4,Steve Stricker,64,68.75,1100,16
4,5,5,Justin Rose,98,68.83,1239,18
5,6,6,Luke Donald,66,68.86,964,14
6,7,7,Brian Gay,107,68.87,1584,23
7,8,8,Mike Weir,88,68.91,758,11
8,9,9,Adam Scott,70,69.09,760,11
9,10,10,Robert Allenby,79,69.27,762,11
10,11,11,Vijay Singh,103,69.41,1527,22
11,T12,T12,John Senden,96,69.47,1181,17
12,T12,T12,Mark Wilson,79,69.47,1181,17
13,14,14,Phil Mickelson,74,69.5,834,12
14,15,15,Kevin Sutherland,100,69.56,1252,18
15,16,16,Vaughn Taylor,88,69.58,835,12
16,17,17,Brett Quigley,109,69.61,1253,18
17,18,18,Arron Oberholser,82,69.64,975,14
18,19,19,Skip Kendall,72,69.65,1184,17
19,20,20,J.B. Holmes,81,69.67,1045,15
20,21,21,Duffy Waldorf,96,69.7,1394,20
21,22,22,Kent Jones,103,69.75,1116,16
22,23,23,Stewart Cink,93,69.77,907,13
23,24,24,David Branshaw,98,69.83,1257,18
24,25,25,Harrison Frazar,95,69.84,1327,19
25,26,26,Frank Lickliter II,99,69.89,1258,18
26,27,27,Ernie Els,69,69.92,839,12
27,28,28,Jonathan Byrd,66,69.93,979,14
28,29,29,Dudley Hart,83,69.94,1119,16
29,30,30,Fred Funk,106,70.0,1190,17
30,31,31,Brett Wetterich,82,70.07,981,14
31,32,32,Tom Pernice Jr.,108,70.09,1612,23
32,T33,T33,Trevor Immelman,86,70.13,1052,15
33,T33,T33,Heath Slocum,96,70.13,1052,15
34,35,35,Scott Verplank,88,70.14,1543,22
35,T36,T36,Steve Elkington,52,70.15,912,13
36,T36,T36,Steve Flesch,119,70.15,1824,26
37,T36,T36,David Toms,76,70.15,912,13
38,T39,T39,Hunter Mahan,98,70.16,1333,19
39,T39,T39,Shaun Micheel,96,70.16,1333,19
40,T41,T41,Michael Allen,84,70.17,842,12
41,T41,T41,Olin Browne,108,70.17,1263,18
42,43,43,Joe Durant,101,70.19,1123,16
43,44,44,Billy Andrade,78,70.2,702,10
44,45,45,Shigeki Maruyama,94,70.24,1194,17
45,46,46,Davis Love III,85,70.25,843,12
46,T47,T47,Stuart Appleby,83,70.27,1054,15
47,T47,T47,Peter Lonard,77,70.27,773,11
48,T49,T49,Padraig Harrington,54,70.3,703,10
49,T49,T49,Nick Watney,97,70.3,1406,20
50,51,51,Daisuke Maruyama,83,70.31,1125,16
51,T52,T52,Briny Baird,81,70.33,1055,15
52,T52,T52,Jason Bohn,104,70.33,1055,15
53,T52,T52,Daniel Chopra,110,70.33,1477,21
54,T52,T52,Fred Couples,52,70.33,633,9
55,T52,T52,Zach Johnson,98,70.33,1055,15
56,T52,T52,Rod Pampling,89,70.33,1055,15
57,58,58,Brent Geiberger,99,70.35,1196,17
58,T59,T59,Brandt Jobe,91,70.38,1126,16
59,T59,T59,Vance Veazey,59,70.38,915,13
60,61,61,J.J. Henry,96,70.4,1056,15
61,62,62,Bubba Watson,83,70.41,1197,17
62,T63,T63,Aaron Baddeley,78,70.44,1268,18
63,T63,T63,Geoff Ogilvy,76,70.44,634,9
64,T63,T63,Jesper Parnevik,84,70.44,1127,16
65,66,66,Jerry Smith,94,70.46,1691,24
66,T67,T67,K.J. Choi,93,70.5,564,8
67,T67,T67,Sergio Garcia,59,70.5,564,8
68,T67,T67,John Huston,74,70.5,1269,18
69,T67,T67,Chris Riley,86,70.5,1128,16
70,T67,T67,John Rollins,93,70.5,1551,22
71,72,72,Mathew Goggin,72,70.53,1058,15
72,73,73,Rory Sabbatini,84,70.54,917,13
73,74,74,Charles Warren,93,70.56,1129,16
74,75,75,Sean O'Hair,100,70.58,847,12
75,76,76,Greg Owen,79,70.59,1200,17
76,T77,T77,Arjun Atwal,97,70.6,1412,20
77,T77,T77,Ben Curtis,86,70.6,1059,15
78,T77,T77,Bill Haas,99,70.6,1059,15
79,80,80,Ryan Palmer,101,70.62,918,13
80,81,81,Jonathan Kaye,95,70.63,1695,24
81,82,82,Ben Crane,85,70.64,777,11
82,T83,T83,Jeff Maggert,81,70.65,1201,17
83,T83,T83,Bo Van Pelt,102,70.65,1201,17
84,85,85,Jerry Kelly,100,70.67,1484,21
85,T86,T86,David McKenzie,82,70.69,1131,16
86,T86,T86,Ryan Moore,68,70.69,919,13
87,88,88,David Howell,52,70.71,495,7
88,89,89,Mathias Grönberg,92,70.72,1273,18
89,90,90,D.J. Trahan,92,70.73,1061,15
90,T91,T91,Ryuji Imada,105,70.75,1415,20
91,T91,T91,Dean Wilson,115,70.75,1132,16
92,93,93,Ron Whittaker,81,70.77,920,13
93,T94,T94,Nathan Green,108,70.78,1628,23
94,T94,T94,Greg Kraft,79,70.78,1274,18
95,96,96,D.A. Points,82,70.79,991,14
96,97,97,Steve Jones,83,70.81,1133,16
97,98,98,Todd Fischer,101,70.83,1275,18
98,99,99,Brian Davis,92,70.84,1771,25
99,100,100,Paul Goydos,72,70.86,992,14
100,T101,T101,Craig Barlow,77,70.87,1063,15
101,T101,T101,Tom Lehman,70,70.87,1063,15
102,T103,T103,Jeff Brehaut,100,70.89,1347,19
103,T103,T103,Bob Tway,81,70.89,1347,19
104,105,105,Will MacKenzie,91,70.9,1418,20
105,T106,T106,Larry Mize,53,70.91,780,11
106,T106,T106,Nicholas Thompson,96,70.91,1560,22
107,108,108,Matt Hansen,68,70.93,1064,15
108,109,109,Bob Estes,85,70.95,1419,20
109,T110,T110,John Cook,67,71.0,923,13
110,T110,T110,Justin Leonard,83,71.0,852,12
111,T110,T110,Steve Lowery,99,71.0,994,14
112,T113,T113,Paul Azinger,87,71.05,1350,19
113,T113,T113,Camilo Villegas,95,71.05,1563,22
114,T115,T115,Retief Goosen,68,71.08,853,12
115,T115,T115,Bernhard Langer,77,71.08,924,13
116,117,117,Troy Matteson,101,71.09,1564,22
117,118,118,Pat Perez,50,71.1,711,10
118,119,119,Jeff Gove,91,71.13,1138,16
119,120,120,Stephen Leaney,84,71.15,925,13
120,121,121,Joey Sindelar,90,71.16,1352,19
121,122,122,Shane Bertsch,104,71.2,1424,20
122,T123,T123,Patrick Sheehan,104,71.21,1353,19
123,T123,T123,Paul Stankowski,70,71.21,1353,19
124,T125,T125,Robert Garrigus,85,71.22,1282,18
125,T125,T125,Charley Hoffman,100,71.22,1282,18
126,T125,T125,Omar Uresti,61,71.22,641,9
127,T128,T128,Chris DiMarco,83,71.25,1140,16
128,T128,T128,J.P. Hayes,55,71.25,855,12
129,130,130,Jeff Sluman,101,71.26,1354,19
130,131,131,Danny Ellis,68,71.27,1069,15
131,132,132,Henrik Bjornstad,97,71.28,1283,18
132,133,133,Jeff Overton,95,71.32,1355,19
133,134,134,Charles Howell III,96,71.33,1284,18
134,135,135,Jason Gore,86,71.35,1213,17
135,T136,T136,Eric Axley,91,71.36,1570,22
136,T136,T136,Chad Campbell,91,71.36,999,14
137,T136,T136,Carl Pettersson,95,71.36,785,11
138,139,139,Billy Mayfair,94,71.37,1356,19
139,140,140,Richard Johnson,94,71.38,1499,21
140,T141,T141,Kris Cox,83,71.4,1071,15
141,T141,T141,Freddie Jacobson,56,71.4,714,10
142,143,143,Tim Petrovic,95,71.42,1357,19
143,T144,T144,Marco Dawson,87,71.46,1715,24
144,T144,T144,Kirk Triplett,58,71.46,929,13
145,T146,T146,Bart Bryant,87,71.5,1001,14
146,T146,T146,J.L. Lewis,57,71.5,858,12
147,T146,T146,Tag Ridings,103,71.5,1716,24
148,149,149,Robert Damron,91,71.54,1860,26
149,150,150,Bubba Dickerson,98,71.55,1574,22
150,151,151,Mike Sposa,68,71.56,1288,18
151,152,152,Jimmy Walker,60,71.58,859,12
152,153,153,José María Olazábal,62,71.63,573,8
153,154,154,Corey Pavin,74,71.64,1003,14
154,155,155,Alex Cejka,93,71.65,1433,20
155,156,156,Kenny Perry,73,71.67,1075,15
156,T157,T157,Tim Clark,80,71.71,1004,14
157,T157,T157,Ian Leggatt,80,71.71,1219,17
158,159,159,Thomas Levet,53,71.73,789,11
159,160,160,Ted Purdy,103,71.76,1507,21
160,161,161,Bob May,65,71.77,933,13
161,162,162,Mark O'Meara,52,71.78,646,9
162,T163,T163,Carlos Franco,86,71.79,1364,19
163,T163,T163,Jason Schultz,77,71.79,1364,19
164,165,165,Mark Brooks,90,71.81,1149,16
165,T166,T166,Woody Austin,107,71.83,1293,18
166,T166,T166,Chris Couch,75,71.83,1652,23
167,T168,T168,Tommy Armour III,65,71.88,1150,16
168,T168,T168,Roger Tambellini,64,71.88,1150,16
169,170,170,Chris Smith,67,71.94,1223,17
170,T171,T171,Stephen Ames,63,72.0,432,6
171,T171,T171,Greg Chalmers,71,72.0,864,12
172,173,173,Michael Connell,51,72.07,1081,15
173,174,174,Jon Mills,68,72.08,937,13
174,175,175,Len Mattiace,59,72.13,1154,16
175,176,176,Lee Janzen,79,72.17,1299,18
176,T177,T177,Rich Beem,85,72.18,794,11
177,T177,T177,Tim Herron,82,72.18,794,11
178,179,179,Mark Calcavecchia,94,72.19,1155,16
179,180,180,James Driscoll,80,72.22,1300,18
180,181,181,Robert Gamez,94,72.25,1156,16
181,T182,T182,Joe Ogilvie,95,72.27,795,11
182,T182,T182,Tjaart van der Walt,60,72.27,795,11
183,184,184,Brad Faxon,78,72.29,1012,14
184,185,185,Scott Gutschewski,53,72.38,941,13
185,186,186,"Wes Short, Jr.",96,72.44,1159,16
186,187,187,Doug Barron,74,72.61,1307,18
187,188,188,David Duval,71,72.71,509,7
188,189,189,Brian Bateman,69,72.89,1312,18
189,190,190,"John Engler, Jr.",69,73.29,1246,17
190,191,191,Hidemichi Tanaka,74,73.33,1320,18
191,192,192,Todd Hamilton,72,73.44,661,9
192,193,193,Ian Poulter,53,73.5,441,6
193,194,194,Ryan Hietala,61,73.77,959,13
194,195,195,Alex Aragon,63,73.79,1033,14
195,196,196,John Daly,51,74.83,449,6
