,Front_9_Round_1_Scoring_Average_RANK THIS WEEK,Front_9_Round_1_Scoring_Average_RANK LAST WEEK,Front_9_Round_1_Scoring_Average_PLAYER NAME,Front_9_Round_1_Scoring_Average_AVG,Front_9_Round_1_Scoring_Average_TOTAL STROKES,Front_9_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Rose,34.47,517,15
1,2,2,Jeff Overton,34.58,657,19
2,3,3,Rocco Mediate,34.73,764,22
3,4,4,Anders Hansen,34.76,591,17
4,5,5,Andrew Buckle,34.77,904,26
5,6,6,Tiger Woods,34.8,522,15
6,7,7,Geoff Ogilvy,34.81,731,21
7,8,8,Jim Furyk,34.82,766,22
8,9,9,Brian Gay,34.88,1116,32
9,T10,T10,Briny Baird,34.9,1082,31
10,T10,T10,Cliff Kresge,34.9,1047,30
11,12,12,Kevin Na,34.92,908,26
12,13,13,Chris Riley,34.94,594,17
13,14,14,Scott Verplank,34.95,769,22
14,15,15,Kenny Perry,34.96,839,24
15,16,16,Arron Oberholser,35.0,665,19
16,17,17,Cameron Beckman,35.03,1016,29
17,T18,T18,Jonathan Byrd,35.04,806,23
18,T18,T18,Heath Slocum,35.04,981,28
19,20,20,Rory Sabbatini,35.05,771,22
20,21,21,Craig Kanada,35.06,1192,34
21,T22,T22,Jarrod Lyle,35.08,842,24
22,T22,T22,Rod Pampling,35.08,842,24
23,24,24,Michael Allen,35.09,772,22
24,T25,T25,Steve Allan,35.11,632,18
25,T25,T25,Woody Austin,35.11,948,27
26,T27,T27,Nathan Green,35.14,1019,29
27,T27,T27,Steve Stricker,35.14,773,22
28,T29,T29,Brendon de Jonge,35.19,915,26
29,T29,T29,Ryuji Imada,35.19,1091,31
30,T31,T31,Bart Bryant,35.21,845,24
31,T31,T31,K.J. Choi,35.21,845,24
32,T31,T31,Vaughn Taylor,35.21,986,28
33,T31,T31,Jay Williamson,35.21,493,14
34,T35,T35,Tim Clark,35.22,634,18
35,T35,T35,Hunter Mahan,35.22,951,27
36,T35,T35,John Senden,35.22,951,27
37,T38,T38,Steve Lowery,35.23,775,22
38,T38,T38,Carl Pettersson,35.23,1057,30
39,T38,T38,Jason Schultz,35.23,775,22
40,T41,T41,Mark Hensby,35.24,881,25
41,T41,T41,John Mallinger,35.24,1022,29
42,T43,T43,Alex Cejka,35.25,846,24
43,T43,T43,Brian Davis,35.25,987,28
44,T43,T43,Sean O'Hair,35.25,987,28
45,46,46,Ernie Els,35.27,529,15
46,T47,T47,Stephen Ames,35.29,741,21
47,T47,T47,Steve Flesch,35.29,1094,31
48,T47,T47,Michael Sim,35.29,600,17
49,T50,T50,Bob Heintz,35.3,953,27
50,T50,T50,D.J. Trahan,35.3,1059,30
51,T50,T50,Charlie Wi,35.3,953,27
52,53,53,Matt Kuchar,35.31,918,26
53,T54,T54,Bob Estes,35.32,989,28
54,T54,T54,Robert Garrigus,35.32,989,28
55,56,56,Jesper Parnevik,35.33,954,27
56,T57,T57,Freddie Jacobson,35.35,707,20
57,T57,T57,Vijay Singh,35.35,919,26
58,T59,T59,Rich Beem,35.36,990,28
59,T59,T59,J.J. Henry,35.36,884,25
60,T59,T59,Kevin Sutherland,35.36,884,25
61,T62,T62,Will MacKenzie,35.37,1061,30
62,T62,T62,Bo Van Pelt,35.37,1061,30
63,T64,T64,John Merrick,35.38,1026,29
64,T64,T64,Darron Stiles,35.38,849,24
65,T64,T64,Camilo Villegas,35.38,849,24
66,T67,T67,Charley Hoffman,35.4,1062,30
67,T67,T67,Trevor Immelman,35.4,708,20
68,T69,T69,Robert Allenby,35.41,956,27
69,T69,T69,Peter Lonard,35.41,956,27
70,T71,T71,Tim Herron,35.44,957,27
71,T71,T71,Tag Ridings,35.44,638,18
72,T73,T73,Daniel Chopra,35.45,1170,33
73,T73,T73,Jeff Quinney,35.45,1028,29
74,T75,T75,Jason Bohn,35.47,603,17
75,T75,T75,Tim Petrovic,35.47,1135,32
76,T77,T77,Marco Dawson,35.48,816,23
77,T77,T77,Nick O'Hern,35.48,745,21
78,T77,T77,Charles Warren,35.48,1029,29
79,T77,T77,Steve Wheatcroft,35.48,887,25
80,T81,T81,Troy Matteson,35.5,923,26
81,T81,T81,George McNeill,35.5,1065,30
82,T83,T83,Craig Bowden,35.52,888,25
83,T83,T83,Lucas Glover,35.52,959,27
84,T83,T83,Jason Gore,35.52,959,27
85,T83,T83,Justin Leonard,35.52,1030,29
86,T83,T83,Corey Pavin,35.52,888,25
87,T88,T88,José Coceres,35.53,604,17
88,T88,T88,Bill Haas,35.53,1066,30
89,90,90,Frank Lickliter II,35.55,1031,29
90,T91,T91,Richard Johnson,35.56,1138,32
91,T91,T91,Dicky Pride,35.56,889,25
92,93,93,Stewart Cink,35.58,854,24
93,94,94,Jason Dufner,35.59,1139,32
94,T95,T95,Steve Elkington,35.6,890,25
95,T95,T95,Robert Gamez,35.6,1068,30
96,T97,T97,Ken Duke,35.61,1104,31
97,T97,T97,Sergio Garcia,35.61,641,18
98,T97,T97,Paul Stankowski,35.61,641,18
99,100,100,Brandt Snedeker,35.62,1033,29
100,T101,T101,Ryan Armour,35.63,1140,32
101,T101,T101,Craig Barlow,35.63,570,16
102,T101,T101,Chad Campbell,35.63,962,27
103,T104,T104,Aaron Baddeley,35.64,784,22
104,T104,T104,Charles Howell III,35.64,891,25
105,T104,T104,Johnson Wagner,35.64,1176,33
106,T107,T107,Brian Bateman,35.67,642,18
107,T107,T107,Jeff Gove,35.67,1070,30
108,T107,T107,Paul Goydos,35.67,642,18
109,T107,T107,Tripp Isenhour,35.67,1070,30
110,T107,T107,Pat Perez,35.67,963,27
111,T107,T107,Adam Scott,35.67,642,18
112,T107,T107,Chris Tidland,35.67,749,21
113,T107,T107,Brett Wetterich,35.67,963,27
114,T115,T115,Jerry Kelly,35.68,999,28
115,T115,T115,Steve Marino,35.68,1106,31
116,T115,T115,Parker McLachlin,35.68,999,28
117,118,118,Anthony Kim,35.69,928,26
118,T119,T119,Billy Andrade,35.7,964,27
119,T119,T119,Billy Mayfair,35.7,1071,30
120,T119,T119,Phil Mickelson,35.7,714,20
121,T122,T122,Mark Calcavecchia,35.71,1000,28
122,T122,T122,J.P. Hayes,35.71,1000,28
123,T122,T122,Craig Lile,35.71,857,24
124,T122,T122,Ryan Moore,35.71,1000,28
125,T122,T122,Brett Quigley,35.71,857,24
126,T122,T122,John Rollins,35.71,1000,28
127,128,128,Mathew Goggin,35.72,1036,29
128,T129,T129,Kent Jones,35.73,1072,30
129,T129,T129,Ryan Palmer,35.73,1072,30
130,T131,T131,Tom Lehman,35.74,679,19
131,T131,T131,Tom Pernice Jr.,35.74,1108,31
132,T133,T133,Padraig Harrington,35.76,608,17
133,T133,T133,Zach Johnson,35.76,751,21
134,T133,T133,Boo Weekley,35.76,1037,29
135,T136,T136,Mark Brooks,35.78,644,18
136,T136,T136,Ted Purdy,35.78,1145,32
137,138,138,Kirk Triplett,35.8,895,25
138,139,139,Paul Gow,35.81,931,26
139,140,140,Scott Gutschewski,35.82,788,22
140,141,141,Stuart Appleby,35.83,824,23
141,142,142,Kyle Reifers,35.85,932,26
142,T143,T143,Tommy Armour III,35.88,861,24
143,T143,T143,Jeff Maggert,35.88,897,25
144,T143,T143,Joey Sindelar,35.88,897,25
145,T143,T143,Chris Stroud,35.88,861,24
146,T143,T143,Bubba Watson,35.88,933,26
147,T148,T148,Luke Donald,35.89,682,19
148,T148,T148,Tom Johnson,35.89,969,27
149,T150,T150,Shigeki Maruyama,35.9,1113,31
150,T150,T150,Greg Owen,35.9,1041,29
151,T152,T152,Chris DiMarco,35.91,826,23
152,T152,T152,Doug LaBelle II,35.91,1185,33
153,154,154,Daisuke Maruyama,35.93,1006,28
154,T155,T155,Tom Byrum,35.95,719,20
155,T155,T155,David Toms,35.95,755,21
156,157,157,Michael Putnam,35.97,1043,29
157,T158,T158,Gavin Coles,36.0,972,27
158,T158,T158,Glen Day,36.0,972,27
159,T158,T158,Retief Goosen,36.0,468,13
160,T158,T158,Joe Ogilvie,36.0,1116,31
161,T158,T158,Jaco Van Zyl,36.0,756,21
162,T158,T158,Mike Weir,36.0,792,22
163,T164,T164,Ben Curtis,36.04,865,24
164,T164,T164,Stephen Leaney,36.04,937,26
165,T164,T164,Shaun Micheel,36.04,1009,28
166,167,167,Bob Tway,36.06,1154,32
167,168,168,Henrik Stenson,36.07,505,14
168,T169,T169,Nick Watney,36.08,938,26
169,T169,T169,Mark Wilson,36.08,902,25
170,171,171,D.J. Brigman,36.09,794,22
171,172,172,Michael Boyd,36.1,758,21
172,T173,T173,Chris Couch,36.17,1049,29
173,T173,T173,Lee Janzen,36.17,868,24
174,175,175,Joe Durant,36.19,977,27
175,176,176,José María Olazábal,36.2,543,15
176,177,177,Mathias Grönberg,36.23,1123,31
177,178,178,Dean Wilson,36.25,1015,28
178,T179,T179,Jim Rutledge,36.26,834,23
179,T179,T179,Kevin Stadler,36.26,1124,31
180,T181,T181,John Daly,36.27,798,22
181,T181,T181,Fred Funk,36.27,798,22
182,183,183,Bryce Molder,36.29,762,21
183,184,184,David Branshaw,36.33,1090,30
184,185,185,Duffy Waldorf,36.35,836,23
185,186,186,Matt Hendrix,36.38,873,24
186,187,187,Eric Axley,36.42,1311,36
187,188,188,Jeff Brehaut,36.43,765,21
188,189,189,Davis Love III,36.45,729,20
189,190,190,Harrison Frazar,36.47,1167,32
190,191,191,Jeff Sluman,36.52,767,21
191,192,192,Bubba Dickerson,36.53,694,19
192,193,193,Todd Hamilton,36.61,1025,28
193,194,194,Rich Barcelo,36.65,953,26
194,195,195,Ian Poulter,36.71,624,17
195,196,196,J.B. Holmes,36.79,883,24
