,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Brian Davis,17
1,2,2,Tiger Woods,16
2,3,3,Briny Baird,14
3,4,4,Sean O'Hair,12
4,T5,T5,Bart Bryant,11
5,T5,T5,Ernie Els,11
6,T5,T5,Boo Weekley,11
7,T8,T8,Freddie Jacobson,10
8,T8,T8,Craig Lile,10
9,T8,T8,Kenny Perry,10
10,T11,T11,Cameron Beckman,9
11,T11,T11,Steve Stricker,9
12,T13,T13,Stephen Ames,8
13,T13,T13,Woody Austin,8
14,T13,T13,Lee Westwood,8
15,T16,T16,Ken Duke,7
16,T16,T16,Sergio Garcia,7
17,T16,T16,Rod Pampling,7
18,T16,T16,Adam Scott,7
19,T16,T16,Camilo Villegas,7
20,T21,T21,Shingo Katayama,6
21,T21,T21,Justin Leonard,6
22,T21,T21,Frank Lickliter II,6
23,T21,T21,Geoff Ogilvy,6
24,T21,T21,Greg Owen,6
25,T21,T21,Corey Pavin,6
26,T21,T21,John Rollins,6
27,T21,T21,Bo Van Pelt,6
28,T29,T29,Michael Allen,5
29,T29,T29,Ryan Armour,5
30,T29,T29,Rich Beem,5
31,T29,T29,Chad Campbell,5
32,T29,T29,Paul Casey,5
33,T29,T29,Alex Cejka,5
34,T29,T29,Daniel Chopra,5
35,T29,T29,Ben Crane,5
36,T29,T29,Jason Dufner,5
37,T29,T29,Jeff Gove,5
38,T29,T29,Richard Green,5
39,T29,T29,Tim Herron,5
40,T29,T29,Paul McGinley,5
41,T29,T29,Jesper Parnevik,5
42,T29,T29,Chris Stroud,5
43,T29,T29,Nick Watney,5
44,T45,T45,Jason Bohn,4
45,T45,T45,Tim Clark,4
46,T45,T45,Brendon de Jonge,4
47,T45,T45,Joe Durant,4
48,T45,T45,Niclas Fasth,4
49,T45,T45,Jim Furyk,4
50,T45,T45,Lucas Glover,4
51,T45,T45,Ryuji Imada,4
52,T45,T45,Zach Johnson,4
53,T45,T45,Kent Jones,4
54,T45,T45,Shigeki Maruyama,4
55,T45,T45,Tom Pernice Jr.,4
56,T45,T45,Rory Sabbatini,4
57,T45,T45,John Senden,4
58,T45,T45,Mike Weir,4
59,T45,T45,Garrett Willis,4
60,T61,T61,Arjun Atwal,3
61,T61,T61,Jonathan Byrd,3
62,T61,T61,Peter Hanson,3
63,T61,T61,Billy Mayfair,3
64,T61,T61,Ryan Moore,3
65,T61,T61,Joe Ogilvie,3
66,T61,T61,Ryan Palmer,3
67,T61,T61,Pat Perez,3
68,T61,T61,Vijay Singh,3
69,T61,T61,Brandt Snedeker,3
70,T61,T61,Kevin Sutherland,3
71,T61,T61,Duffy Waldorf,3
72,T61,T61,Charlie Wi,3
73,T74,T74,Stuart Appleby,2
74,T74,T74,Craig Barlow,2
75,T74,T74,Thomas Bjørn,2
76,T74,T74,Michael Boyd,2
77,T74,T74,Paul Broadhurst,2
78,T74,T74,Mark Brooks,2
79,T74,T74,Ángel Cabrera,2
80,T74,T74,K.J. Choi,2
81,T74,T74,Darren Clarke,2
82,T74,T74,Luke Donald,2
83,T74,T74,Steve Elkington,2
84,T74,T74,Danny Ellis,2
85,T74,T74,Todd Fischer,2
86,T74,T74,Steve Flesch,2
87,T74,T74,Fred Funk,2
88,T74,T74,Robert Gamez,2
89,T74,T74,Brian Gay,2
90,T74,T74,Jason Gore,2
91,T74,T74,Paul Goydos,2
92,T74,T74,Anton Haig,2
93,T74,T74,Trevor Immelman,2
94,T74,T74,Lee Janzen,2
95,T74,T74,Craig Kanada,2
96,T74,T74,Robert Karlsson,2
97,T74,T74,Anthony Kim,2
98,T74,T74,Greg Kraft,2
99,T74,T74,Matt Kuchar,2
100,T74,T74,Doug LaBelle II,2
101,T74,T74,Bernhard Langer,2
102,T74,T74,José Manuel Lara,2
103,T74,T74,Jamie Lovemark,2
104,T74,T74,Steve Lowery,2
105,T74,T74,Sandy Lyle,2
106,T74,T74,Hunter Mahan,2
107,T74,T74,John Mallinger,2
108,T74,T74,Steve Marino,2
109,T74,T74,Jim McGovern,2
110,T74,T74,Parker McLachlin,2
111,T74,T74,Bryce Molder,2
112,T74,T74,Colin Montgomerie,2
113,T74,T74,Nick O'Hern,2
114,T74,T74,Tim Petrovic,2
115,T74,T74,Dicky Pride,2
116,T74,T74,Kyle Reifers,2
117,T74,T74,Chris Riley,2
118,T74,T74,Justin Rose,2
119,T74,T74,Andrew Ruthkoski,2
120,T74,T74,Michael Sim,2
121,T74,T74,Graeme Storm,2
122,T74,T74,Bob Tway,2
123,T74,T74,Grant Waite,2
124,T74,T74,Charles Warren,2
125,T74,T74,Steve Wheatcroft,2
